RowNumber,CustomerId,Surname,CreditScore,Country,Gender,Age,Tenure,CustomerFeedback,Balance (EUR),NumberOfProducts,HasCreditCard,IsActiveMember,EstimatedSalary,Exited
4557,15796231,Nwankwo,681,France,Female,18,1,#N/A,98894.39,1,1,1,9596.4,0
4717,15805764,Hallahan,646,France,Male,18,10,"Yo, I gotta say, at first, I was kinda confused by their ad about the new investment option. The fancy terms they used in the advertisement weren't so easy to understand, but I reached out to the customer service and they totally came to my rescue. I spoke to a helpful agent who walked me through everything about that offer in simpler language. After our chat, everything became way clearer, and I even opened an investment account in the bank, based on the advice they gave me.

Kudos to the customer service peeps, and hey, you marketing peeps out there - why not try making ads in more friendly, casual language? Don't leave us young ones in the dust when it comes to understanding that cool stuff! We're the ones most interested, right?

Bottom line: despite initial confusion, turned out great in the end. Thumbs up to the bank's customer service, and keep it coming with that open ear for us young clients! We appreciate ya!",0,2,0,1,52795.15,0
7335,15759133,Vaguine,616,France,Male,18,6,#N/A,0,2,1,1,27308.58,0
7723,15570086,Lynch,684,Germany,Male,18,9,#N/A,90544,1,0,1,4777.23,0
8523,15619892,Page,644,Spain,Male,18,8,#N/A,0,2,1,0,59172.42,0
9030,15722701,Bruno,594,Germany,Male,18,1,Will include attachments of dates of denial emails on two different occasions on tw separate pre-approvals. I was invited to apply for credit and loans with Upgrade with a decent credit score. I will attach the minimum scores they normally approve consumer applications with XXXX or higher.,132694.73,1,1,0,167689.56,0
9502,15634146,Hou,835,Germany,Male,18,2,#N/A,142872.36,1,1,1,117632.63,0
9521,15673180,Onyekaozulu,727,Germany,Female,18,2,"A couple of weeks ago, I misplaced one of the checks I was issued from my work. At first, I panicked, thinking of all the bad possibilities like someone cashing in on it or me getting in trouble. But, the amazing thing about our bank is their wonderful and friendly staff that make the process so much less stressful. I called them up and explained my situation, and to my relief, they walked me through all the necessary steps to handle the situation professionally and quickly. I was able to cancel the lost check and have a new one reissued without any complications.

Because of their speedy and efficient service, I could address the issue promptly and not worry about facing consequences related to my lost check. Thanks to this bank and their extraordinary support team, the potential problem got resolved effortlessly and without much stress! I've always been happy banking with them, but this experience confirmed how lucky I am to have such an awesome bank taking care of my financial needs! Thanks a bunch, you guys are rock stars!",93816.7,2,1,0,126172.11,0
9527,15665521,Chiazagomekpele,642,Germany,Male,18,5,"This morning XXXX I received a credit alert from XXXX of a new credit inquiry that I did not initiate, and then later an email from XXXX saying thanks for electing to go paperless with my new XXXX XXXX XXXX XXXX XXXX that I did not sign up for. I have had absolutely no interaction with XXXX and did not request a credit card.",111183.53,2,0,1,10063.75,0
9573,15641688,Collier,644,Spain,Male,18,7,I had applied for the Apple Card ( XXXX ) and was denied multiple times for very unfair reasons. My credit report is inaccurate and has fraudulent accounts and collections on it. So therefore i shouldn't be denied for those reasons. I have never missed a payment nor had a credit card go to collections that i had RIGHTFULLY opened with my approval. Apple and Goldman Sachs Bank should approve the application.,0,1,0,1,59645.24,1
9783,15728829,Weigel,509,France,Male,18,7,#N/A,102983.91,1,1,0,171770.58,0
9933,15813451,Fleetwood-Smith,677,Spain,Male,18,8,#N/A,134796.87,2,1,1,114858.9,0
58,15647091,Endrizzi,725,Germany,Male,19,0,"I was signing up for a capital one credit card and was instantly declined despite having good credit, gave me no reason and proceeded to do a hard credit check and add another hard equity onto my account despite being denied.",75888.2,1,0,0,45613.75,0
924,15601026,Gallagher,572,Germany,Female,19,1,"You know what, even though there was a bit of delay with the money I was expecting to be available in my account, the support team actually pulled through. They handled the situation quickly, and my funds appeared after I talked to the customer care rep. They apologized for the inconvenience too! I was ready to get mad, but the efficient assistance they provided makes it hard to complain. All's good now! Kudos to the support team! :)",138657.08,1,1,1,16161.82,0
2312,15664639,McGregor,645,France,Male,19,9,#N/A,128514.84,1,0,0,175969.19,0
2670,15693947,Tokareva,614,France,Female,19,5,someone stole my identity got into my bank account and attempted to open credit cards in my name,97445.49,2,1,0,122823.34,0
2991,15809823,Thurgood,491,Germany,Male,19,2,#N/A,125860.2,1,0,0,129690.5,0
3096,15680243,Brown,792,France,Male,19,7,#N/A,143390.51,1,1,0,33282.84,0
3240,15776844,Hao,762,Spain,Female,19,6,"Last week I tried to make an overseas payment for the online purchase of products I urgently needed, but faced a situation I didn't expect. The exchange rate was unacceptably off and didn't align with the most up-to-date, accurate figures published elsewhere. Feeling very disappointed, as I didn't want to lose extra money in such a manner, I had to withdraw my order at the last minute. My business heavily depends on the exact calculation of costs and proper communication with my suppliers.

I trusted your bank's system to provide me with the correct exchange rate, but instead was left out in the cold due to this avoidable situation. This disappointment isn't an easy experience to swallow, and it erodes the trust and loyalty that I have built with your bank.

I demand immediate attention and resolution on the matter; such discrepancy in rates puts clients like me in disadvantageous positions. It is time the bank invests resources in systems that provide real-time data on exchange rates and upholds accuracy as a standard service that your clients deserve.",0,2,1,0,55500.17,0
3296,15654296,Estrada,754,Spain,Female,19,9,#N/A,0,1,1,0,189641.11,0
3632,15794841,Kung,739,Spain,Male,19,5,#N/A,89750.21,1,1,0,193008.52,0
4000,15665062,Lucchese,696,France,Male,19,1,#N/A,110928.51,1,1,1,2766.63,0
4219,15782418,Ku,589,Germany,Female,19,9,I was charged a fee. American Express charged me a XXXX. I added funds to meet the monthly requirements of XXXX dollars. The problem with the XXXX dollar limit that it does not allow me to add funds of XXXX dollars. It takes days in order to be allowed to deposit more funds into the account. I added fund on the XXXX at XXXX paciffic time when the American Express button had allowed me to add more funds. It is not fair that the button feature does not allow any more funding more than XXXX dollars. if the requirement is XXXX dollars per month to reload the account. American Express should not limit the amount to transfer funds to XXXX dollars only. currently the limited is only XXXX dollars to deposit into the account from another bank card. I have tried to ACH money from another account. American Express removed that option from the serve account. I can not get money from my school financial aid into this account because the card has been blocked. I have tried to reload at a XXXX my account is blocked according to XXXX stores I have tried multiple times to get reloads XXXX is not allowing reloads to this account at this time. I have no other option when it comes to funding this account other than reloading from another bank card. American Express should allow the account to be free with out fees if the account is being used and reloaded with in 90 days period of XXXX dollars. is that it monthyMy school is not able to add funds for financial aid because the card is blocked. I tried to reload at XXXX and it is blocked. American Express removed. My American Express account was charged a fee and requested that American Express customer serivce returns the dollar back to my account. The customer service service tried to return back the dollar charged to my account. The system was not able to return back the dollar charged. The XXXX dollar bank card transfer limit makes it complicated to be able to get a full deposit of XXXX dollars. American Express should allow the acception to be able to deposit with in a day more than XXXX dollars.,83495.11,1,1,1,143022.31,1
4331,15666652,Anayolisa,781,France,Female,19,3,#N/A,0,2,1,1,124297.32,0
4728,15641822,Barese,648,France,Female,19,1,#N/A,0,2,0,1,22101.86,0
4771,15761506,Russell,615,Spain,Male,19,5,#N/A,0,2,1,0,159920.92,0
4793,15809991,Ferrari,756,Spain,Male,19,4,#N/A,130274.22,1,1,1,133535.29,0
5290,15741195,Okechukwu,613,Spain,Male,19,5,"So, I stumbled upon your latest marketing campaign the other day - the one promoting special deals for opening a new account. I have to admit that the graphics and presentation of the ads definitely caught my attention. However, I'm writing because I feel like there's a significant lack of clarity in some of the ad messaging. I'm usually a detail-oriented person, but for someone just casually glancing, it may create some confusion and prevent them from taking advantage of the advertised deal.

It wasn't entirely clear what the requirements and deadlines were for benefiting from these exclusive offers, which is vital information for making an informed decision. The ad might generate interest and excitement, but lacking the crucial information can frustrate prospective clients.

I want to give your bank a chance and see how things go. It would be really appreciated if you can focus on making your marketing communications as precise as possible. Thanks!",0,1,1,1,176903.35,0
5593,15670343,Li,576,Spain,Male,19,6,#N/A,0,2,0,0,72306.07,0
5648,15615245,Shao,660,France,Male,19,5,#N/A,127649.64,1,1,1,40368.65,0
5875,15693902,Hunt,597,France,Male,19,2,#N/A,0,2,1,1,91036.74,0
6004,15579892,Doyle,708,Spain,Male,19,7,#N/A,112615.86,1,1,1,4491.77,0
6320,15768340,Beavers,642,Germany,Female,19,3,"So, I had some confusion regarding the advertisement for the new account promo your bank is running right now. But I contacted customer service and spoke with one of the representatives, they did a really great job at clearing everything up. They walked me through all the necessary steps, were really patient with all of my questions and overall, provided really top-notch customer assistance. That experience definitely made me feel more secure about continuing my relationship with your bank. You guys have gained a satisfied customer, and I will for sure recommend your bank to others. Keep up the good work!",113905.48,1,1,1,176137.2,0
6888,15662641,Amadi,850,France,Male,19,8,Great news! My lost check issue got sorted super fast. Talked with their support peeps and it was no biggie at all. Those guys rock! Money's all safe now.,0,1,1,1,68569.89,0
7626,15689692,Walker,598,Germany,Male,19,3,#N/A,150348.37,1,1,1,173784.04,0
8585,15732967,Cremonesi,731,France,Male,19,6,#N/A,0,2,1,1,151581.79,0
8787,15770968,Leason,741,Germany,Female,19,8,"Wow! This bank's overdraft protection feature is awesome! Honestly, I used to worry about accidentally overspending but now I feel at ease knowing the bank got my back. Their rewards are great too. Thanks to the excellent banking features, I'm encouraged to save up more than before. Best decision I've ever made switching to this bank. Kudos to you guys!",108711.57,2,1,0,24857.25,0
9332,15659305,Webster,605,Germany,Male,19,8,#N/A,166133.28,1,1,1,107994.99,0
9680,15605067,Nwachinemelu,472,France,Male,19,9,I receive a call from a caller ID of the fbi saying I was involved in a trafficking crime and they had my address and phone number I was told that I had to make a payment to the family of girl who was taken for XXXX but to deposit {$1000.00} I was very scared and nervous idk what to do I made a XXXX decision and made a payment on PayPal to the so called family lawyer that was pressing charges on me for XXXX to be exact I really would like some help that money is all I have for my college tuition and expenses this fall semester PayPal disregard my claim and let the payment go through I really made a terrible decision and a look like a fool I very embarrassed but I asking humbly for help receiving back my money for college. The scammer told me to choose and write the family option that why its on there I praying for a miracle right now for help if dont have that money I wont be able to go to college this year. I no biological connection to that man whats so ever he impersonated a federal agent and try same I was convicted of crimes for XXXX XXXX XXXX I really need some help big time. After that I ended up changing my phone number and contacts information its very hard by myself and I made stupid mistakes I hope to learn from this and move on so this never happens to me again.,0,2,1,0,3453.4,0
234,15723886,Fiore,767,Germany,Male,20,3,#N/A,119714.25,2,0,1,150135.38,0
1065,15699598,Smith,723,France,Female,20,4,#N/A,0,2,1,1,140385.33,0
1328,15688007,Liu,703,Spain,Male,20,3,#N/A,165260.98,1,1,1,41626.78,0
1686,15713826,Ferguson,613,Germany,Female,20,0,"I'm usually good at keeping track of my finances, but recently I got slammed with overdraft fees I wasn't expecting. When I asked about overdraft protection, they just brushed it off saying I should monitor my transactions closely. Not the best feeling when my hard-earned savings are slowly dwindling away. I might just move to a bank that cares more about their customers and won't rob them blind with excessive fees. Pretty disappointed with my current banking situation, to say the least.",117356.19,1,0,0,113557.7,1
1731,15643438,P'eng,850,France,Male,20,7,"So, I just had to leave a review about the whole process you guys got goin' on here with the advertising stuff. Honestly, I thought it'd be kind of annoying when I signed up for it. But, to my surprise, it turned out to be really cool and not too in-your-face, you know? Plus, you gotta love when things turn out way better than expected. Keep doing what you're doing and never change that way you reach your peeps. Your marketing peeps are nailing it! Cheers and much love from a happy, pleasantly surprised customer!",0,2,1,0,31288.77,0
1906,15566843,Gotch,535,Germany,Male,20,9,#N/A,134874.4,1,1,1,118825.56,0
2251,15739576,Bustard,706,Spain,Male,20,8,#N/A,0,2,1,1,12368.11,0
2498,15748123,Chienezie,613,France,Male,20,3,#N/A,0,2,1,1,149613.77,0
2833,15758171,Tien,582,France,Male,20,4,#N/A,0,1,1,1,55763.66,0
2946,15776348,Rogers,835,Germany,Male,20,4,"I must say I've experienced some awful customer service interactions with this bank. I remember that time when I called them regarding a transaction problem, I expected them to help and solve the issue smoothly. Instead, I found the whole process daunting.

First, I had to hold for an absurdly long period, and when someone finally answered my call, the customer service rep barely showed any empathy, interest or willingness to resolve the issue. The responses were like half-baked efforts that suggested that I should have simply lived with the problem instead of reaching out.

It appeared that the representative didn't have proper training or wasn't provided with resources to be effective at their job. Instead of solving the problem, my frustration only intensified as they merely repeated the same ineffective suggestions again and again.

Given today's dynamic and highly competitive environment, this kind of inefficient and frustrating customer service simply should not exist. Young people like me crave timely resolutions and demand excellence from their banks; we aren't bound to mediocrity in the era of digital connectivity.

If this bank doesn't step up its customer service game, I'm afraid they're going to see many other young and digitally-savvy customers jumping ship in search of more reliable, supportive financial institutions. They've got to put more focus and dedication into actually helping their customers resolve issues rather than pushing them to the point of dismay.",124365.42,1,0,0,180197.74,1
3031,15725660,Dellucci,676,France,Male,20,1,#N/A,80569.73,1,0,0,68621.98,0
3202,15637593,Greco,722,France,Male,20,6,#N/A,0,2,1,0,195486.28,0
3569,15672970,Chigolum,714,Spain,Male,20,3,#N/A,0,2,0,1,150465.93,0
3943,15786167,Andreyeva,649,Spain,Male,20,5,#N/A,0,2,1,1,58309.54,0
4025,15758073,Dellucci,655,France,Female,20,7,#N/A,134397.61,1,0,0,28029.54,0
4396,15790324,Green,660,France,Female,20,6,#N/A,167685.56,1,1,0,57929.9,0
4572,15761775,Myers,598,Germany,Male,20,8,#N/A,180293.84,2,1,1,29552.7,0
4952,15649793,Lovely,658,France,Male,20,7,#N/A,0,2,0,0,187638.34,0
5098,15568238,Diaz,650,Spain,Male,20,8,#N/A,0,2,1,1,113469.65,0
5103,15632899,Nwankwo,662,Spain,Male,20,9,"Every time I apply for a synchrony bank credit card I always receive the same decline response application as a risk factors that caused us to be on sure of your identity. Or unable to verify identity. This is synchrony banks, job to call me and verify the application it is not fair that I am using my inquiry to apply for credit with my credit score being in the 700s debt to income, low and income high for you to decline me for such frivolous purpose. I am including a copy of my drivers license, state ID card, Social Security card, and letter to verify that this is me I need for you to reconsider this application.",104508.77,2,0,0,73107.53,0
5219,15781505,Giordano,685,France,Male,20,4,#N/A,104719.94,2,1,0,38691.34,0
5255,15746664,Ts'ui,463,Spain,Male,20,8,#N/A,204223.03,1,1,0,128268.39,0
5998,15583033,Huguley,640,France,Female,20,4,#N/A,0,2,0,1,78310.82,0
6245,15725302,Streeton,670,Spain,Female,20,4,#N/A,0,2,1,0,119759.24,0
6414,15734765,Mahmood,739,France,Female,20,4,"So like, I went to withdraw my paycheck from the ATM yesterday but it said my balance wasn't enough. Maybe a delay with depositing? Any idea when the issue will be resolved?",133800.98,1,0,1,150245.81,0
6547,15633840,Henderson,781,France,Male,20,0,Just had a run-in with some unauthorized transactions on my account. Panicked a bit but reached out to the bank. They handled everything super well! My account was secure in no time and the lost money got returned too. Impressed with their speed and efficiency!👌,125023.1,2,1,1,108301.45,0
7047,15737627,Rivero,589,Germany,Female,20,2,#N/A,121093.29,2,1,0,3529.72,0
7391,15764922,Tu,596,Spain,Male,20,3,#N/A,187294.46,1,1,0,103456.47,0
7452,15673907,Alexander,659,France,Male,20,8,#N/A,0,2,0,0,112572.02,0
7457,15598614,Lucchesi,790,Spain,Male,20,8,#N/A,0,2,1,0,168152.76,0
7769,15726695,Hsia,601,Spain,Female,20,9,#N/A,122446.61,2,1,0,86791.9,0
7848,15769915,Charlton,643,Spain,Female,20,0,#N/A,133313.34,1,1,1,3965.69,0
8518,15671800,Robinson,688,France,Male,20,8,#N/A,137624.4,2,1,1,197582.79,0
8646,15669282,Uchechukwu,636,France,Female,20,10,#N/A,124266.86,1,0,0,100566.81,0
9007,15756118,T'ao,661,Spain,Male,20,8,"I was quite dismayed when my recent paycheck arrived in the mail, only to have it seemingly disappear shortly thereafter. Unfortunately, losing track of one's possessions is bound to happen, especially during our fast-paced, technology-driven society. So, in my situation, I reached out to my bank's customer service team, curious to discover the necessary course of action. Surprisingly, the support agent exhibited remarkable patience, working tirelessly to guide me through the lengthy, though undeniably necessary, steps required to retrieve my lost income. Nevertheless, this entire predicament, while overall reasonably tolerable, served as an eye-opening experience, driving me to find means for evading these issues in the future. Having a young and tech-oriented mind, perhaps exploring mobile wallets or direct deposit may assist me in negating future losses while still providing simple accessibility to my earnings.",0,1,1,0,110252.53,0
9137,15688984,Belonwu,595,France,Male,20,4,#N/A,95830.43,1,1,0,177738.98,0
9247,15682523,Chigozie,762,France,Male,20,1,#N/A,139432.55,1,1,1,85606.83,0
9259,15652674,Hou,539,France,Male,20,0,#N/A,83459.86,1,1,1,146752.67,0
9587,15786418,Chiu,546,France,Female,20,6,#N/A,0,1,0,1,20508.85,0
9941,15791972,Bergamaschi,748,France,Female,20,7,#N/A,0,2,0,0,10792.42,0
70,15755648,Pisano,675,France,Female,21,8,#N/A,98373.26,1,1,0,18203,0
76,15780961,Cavenagh,735,France,Female,21,1,"Just had an experience at the bank involving an incorrect exchange rate issue. To be honest, I didn't expect a resolution so quickly! Thankfully, the bank employees were really helpful in understanding my concern, and they fixed it almost immediately. I feel that they genuinely care for their customers. Will definitely continue banking here and recommend to friends and family. Super happy with the positive outcome and their excellent service. Cheers!",178718.19,2,1,0,22388,0
146,15800703,Madukwe,485,Spain,Female,21,5,#N/A,113157.22,1,1,1,54141.5,0
390,15717225,Ikemefuna,544,France,Female,21,10,#N/A,161525.96,2,1,0,9262.77,0
764,15622750,Chu,742,Germany,Female,21,1,#N/A,114292.48,1,1,0,31520.4,0
847,15608968,Averyanov,714,Germany,Male,21,6,#N/A,86402.52,2,0,0,27330.59,0
1114,15648800,Paterson,731,Germany,Female,21,8,"On XX/XX/XXXX, right before XXXX day weekend, I received my social security check. While paying my normal bills I noticed a couple of charges I did not make. I phoned customer service about it and ask about these charges. As I soon as a said the word fraudulent the customer service agent shut my account down with out my knowledge. At that point I went ballistic. Then transferred to a supervisor. The XXXX thinks A virtual credit/debit card is o.k. Well its XXXX day weekend and I have no cash. No laundry money, running out of meds and no cash. After contacting them again they said contact the companies and use the virtual card. I did this and called the company that made the withdraw. they were very accommodating and would return the funds plus some I missed. They tried the original card and the virtual card but nothing. I called the great and glorious mobile vibe. I called the companies back again and they responded they had tried a few times and that they could not return the funds. Again ; I called customer service which started quoting policy and tried to spin it back on me try to make my fault because some XXXX arbitrarily canceled my card. If I had been given a half hour I would have been able to draw cash out. I've repeated and repeated this situation at to "" customer service '' at least ten times in the past five days from the XXXX to The Present. to this day : no card, no restitution, and it looks like I'm out $ XXXX is definitely public shaming time for you and colleges. Oh, by the way, I cant believe you charged me XXXX dollars.",132312.06,1,1,0,106663.46,1
1178,15651369,Wright,626,France,Male,21,1,"Honestly, I had high expectations when I opened my account with this bank because my friends said that the service was pretty great. I ran into an issue recently, and now I have mixed feelings. So, my family decided to wire me some money for college expenses and books. The bank had promised that the transfer would be ready the following business day.

To my dismay, that was not the case. When I tried to withdraw the money from an ATM the next day, it wasn't available in my account. I had to spend hours on hold with customer service trying to resolve the issue. Eventually, I got through, and they managed to sort things out for me.

It just seems like the whole process was more complicated than it needed to be, and that was pretty frustrating. Although they solved the issue and made sure that my funds were available within the next 24 hours, I'm still feeling a bit annoyed because of the hassle. I hope in the future they improve the wire transfer service and stick to their timeline. I really want to trust and rely on this bank for future transactions.",0,2,1,0,66232.23,0
1242,15760774,Hargraves,519,France,Female,21,1,#N/A,146329.57,2,1,1,194867.27,0
1578,15576714,Manna,687,Spain,Female,21,8,"Hey, so I went to withdraw cash, and the money you said was cleared wasn't there yet. Pretty inconvenient, just wanna know what's up. Update me, please? Thanks.",0,2,1,1,154767.34,0
1616,15722578,Spitzer,685,Germany,Female,21,6,#N/A,97956.5,1,1,1,164966.27,0
1735,15808846,Horton,672,Germany,Female,21,3,"The only way I was able to pay the bill was through the app and at the time the app wasnt working correctly. They even sent me links to use and I screen recording the link not working and emailed them to them. They told me they was not allowed to take payments over the phone which was unusual to me. So in the process my credit had to suffer, I have reached out to them to pay the balance do on the card but I feel like since it wasnt my fault that I couldnt pay on time that they should fix all negative payments and they told me no.",165878.76,2,1,1,164537.17,0
1954,15675190,Chia,623,France,Male,21,10,#N/A,0,2,0,1,135851.3,0
2489,15571148,Baranov,645,Spain,Female,21,1,"I just opened a mobile wallet account with you guys and I gotta say, it's pretty lit! Your app is super easy to navigate and all the features like transferring funds or even paying someone just with their email or mobile number is on point. Makes life so much easier, especially for a young adult like me with loads of bills and hangouts to keep up with. Thanks for being on top of your game and delivering such an impressive user experience! Will definitely be recommending your mobile wallet to all my friends!",0,2,0,0,28726.07,0
2649,15644962,Connolly,745,France,Male,21,4,#N/A,137910.45,1,1,1,177235.23,0
2709,15667190,Yuan,630,Spain,Female,21,1,#N/A,85818.18,1,1,1,133102.3,0
2866,15590228,Greenwalt,715,France,Male,21,6,Hsi,76467.16,1,1,1,173511.72,0
3038,15741094,Sagese,693,France,Male,21,1,They're trying to process payments that were not authorized. They turned my auto pay back on without my permission. They call several times a day using false local numbers. They call on XXXX which is not allowed in the State of West Virginia,0,2,1,1,3494.02,0
3116,15582066,Maclean,561,France,Male,21,4,#N/A,0,1,1,1,36942.35,0
3452,15700864,Fiorentini,607,France,Female,21,0,"Yo, just wanted to give a big shout-out to this awesome bank. I noticed a charge on my account that didn't add up, and when I hit them up, they responded super fast. Turns out there was an error in my account and they fixed it within a couple hours. These folks know their stuff and they do care about us customers. Never thought I'd have such a smooth experience with a bank! Will be sticking with these guys for sure. Thumbs up! Keep up the great work! Peace.",0,2,1,0,116106.52,0
3612,15734246,She,746,France,Female,21,8,"I am a XXXX XXXX woman. I have a credit score of about 740-780. On or about XX/XX/2023, I submitted a credit card for the XXXX XXXX Citi Card. It was denied under the pretense that my credit card privileges were restricted. In response to this denial letter, I called Citi Cards to inquire about this issue. I was informed there was a closed credit card that was opened under my name and was in a negative status. I requested verification of the account so I can take legal action to address the issue and I can re-apply for the Citi card. However, my requests to address the issues were ignored by multiple representatives, often some of them mocking my manly voice. After about 10-15 calls with different reps and about 2-3 hours of trying to resolve this issue, it became clear to me that Citi was not interested in resolving this alleged account that was opened under my name. I respectfully request your assistance in addressing this situation and the potential discriminatory application of internal credit card applications.",166883.07,2,0,1,194563.65,0
3667,15725068,Quinn,701,Spain,Female,21,9,#N/A,0,2,1,1,26327.42,0
3699,15717935,McDonald,589,France,Female,21,3,#N/A,0,2,0,1,55601.44,0
3872,15662091,Adams,570,Spain,Male,21,7,#N/A,116099.82,1,1,1,148087.62,0
3897,15767894,Ch'ien,741,France,Female,21,9,"Yo, gotta give a shoutout to my bank! They helped me dodge a huge scam recently. I got a sus email askin' me to ""confirm"" my account deets and foolishly clicked it. Next thing I know, the bank's fraud department hits me up to ask about some weird transactions. Turns out, my bank caught on to the scammers fast enough to prevent any big damage. Their team straight up swooped in like superheroes and reversed the fake transactions in a flash. Seriously couldn't ask for a better security response from my bank. Cheers to them!👏🙌",0,2,0,1,139259.54,0
3978,15813894,Bogle,620,Spain,Male,21,9,#N/A,0,2,0,0,154882.79,0
4048,15656707,Ma,720,Spain,Male,21,2,#N/A,123200.78,1,1,1,180712.28,0
4121,15610105,Shen,666,Germany,Female,21,1,#N/A,121827.43,2,1,1,99818.31,0
4332,15789714,Semmens,691,Spain,Male,21,3,#N/A,103000.94,1,1,1,104648.58,0
4440,15696539,Wade,613,France,Female,21,7,"Yo, so I had a scam issue, right? But dang, your team sorted it out quick! For real tho, they stopped the fake charges, got me my money back. Chill peeps, 10/10 recommend! 😎👌💯",105627.95,1,1,1,36560.51,0
5380,15730796,Barker,627,France,Female,21,7,#N/A,98993.02,1,1,1,169156.64,0
5470,15678571,Barber,723,France,Male,21,4,#N/A,0,2,0,0,24847.02,0
5844,15813327,Romani,710,France,Male,21,4,#N/A,109130.96,2,1,1,56191.99,0
5873,15684248,Meng,658,Spain,Male,21,7,#N/A,0,2,0,1,154279.87,0
6161,15706128,Zhdanov,632,France,Female,21,1,"There was an odd situation on my account recently with a strange charge. So, I called up the customer service of the bank and informed them about the issue. They took my issue seriously and began an investigation. It turned out it was a minor fraud attempt, but thankfully nothing harmful occurred. However, the whole process did consume quite a bit of time and felt dragged. While the bank took appropriate action, they need to work on streamlining the fraud detection process to make it quicker.",0,2,1,0,84008.66,0
6412,15791172,Yeh,672,Germany,Female,21,1,"Recently, I had some sketchy transactions on my account, so I got in touch with the bank. The staff's attentiveness seriously blew my mind! They listened carefully and worked quickly to resolve the situation, managing to save me from a massive fraud.

Kudos to them for always being vigilant and taking all the precautions to protect their customers! They even updated me with helpful tips and tricks for maintaining safety while I'm online and preventing any future issues. The reassurance and understanding they provided gave me a sense of relief.

All things considered, the bank exceeded my expectations in customer care and dedication to security. For young people like me who are learning how to navigate the world of finances, I'm grateful to have a bank that has my back. Their hard work definitely pays off in giving peace of mind to customers like me. Totally recommend them to others!",35741.69,1,1,0,28789.94,0
6415,15642912,Tu,618,France,Female,21,2,"Yo, I had this lil' issue where I wasn't able to login to my mobile banking app - seriously annoying, right? Anyway, I called up the bank's customer service and, let me tell ya, they hooked me up with someone super cool who was patient and attentive. Took care of my issue like it was nothin'. Major props to the bank for having employees who actually know how to handle problems. Trust me when I say their help didn't go unnoticed. So yeah, two thumbs up for awesome customer service - glad I chose this bank!",125682.79,1,0,0,57762,0
6573,15574237,Hsueh,588,France,Female,21,8,"Yo, I just wanna say I'm super impressed with how your bank handled my situation when I was charged the wrong amount on my last transaction. I mean, it could have been such a headache but it went way smoother than I ever expected! I called customer support, and like, not only did they sort things out with a cool attitude, but they did it all in a jiffy, and even followed up to make sure I was satisfied with everything. Gotta give credit where it's due – you guys are on point, seriously! Mad props to your whole team for this! Will keep using your services for sure! Peace!",0,2,1,1,110114.19,0
